frame_id,timestamp,driver,position,lap_number,gap_ahead_sec,gap_behind_sec,tire_compound,tire_age_laps,stint_length,drs_active,speed_kph,recent_pace_sec,pace_trend,relative_pace_delta,catch_time_laps,degradation_score,pit_window_open,track_status,safety_car
0,2024-09-01T14:00:00+00:00,VER,1,1,,0.6,MEDIUM,1,1,False,306.2,,,,,,False,GREEN FLAG,False
0,2024-09-01T14:00:00+00:00,PER,2,1,0.6,0.9,HARD,1,1,True,307.4,,,,,,False,GREEN FLAG,False
0,2024-09-01T14:00:00+00:00,HAM,3,1,0.9,1.2,SOFT,1,1,True,308.6,,,,,,False,GREEN FLAG,False
0,2024-09-01T14:00:00+00:00,RUS,4,1,1.2,1.5,MEDIUM,1,1,False,309.8,,,,,,False,GREEN FLAG,False
0,2024-09-01T14:00:00+00:00,LEC,5,1,1.5,1.8,SOFT,1,1,False,311.0,,,,,,False,GREEN FLAG,False
0,2024-09-01T14:00:00+00:00,SAI,6,1,1.8,,HARD,1,1,False,312.2,,,,,,False,GREEN FLAG,False
1,2024-09-01T14:01:25+00:00,VER,1,2,,0.7,MEDIUM,2,2,False,306.7,67.997,,,,,False,GREEN FLAG,False
1,2024-09-01T14:01:25+00:00,PER,2,2,0.7,1.0,HARD,2,2,True,307.9,67.732,,-0.265,2.64,,False,GREEN FLAG,False
1,2024-09-01T14:01:25+00:00,HAM,3,2,1.0,1.3,SOFT,2,2,False,309.1,67.469,,-0.263,3.8,,False,GREEN FLAG,False
1,2024-09-01T14:01:25+00:00,RUS,4,2,1.3,1.6,MEDIUM,2,2,False,310.3,67.209,,-0.2609,4.98,,False,GREEN FLAG,False
1,2024-09-01T14:01:25+00:00,LEC,5,2,1.6,1.9,SOFT,2,2,False,311.5,66.95,,-0.2589,6.18,,False,GREEN FLAG,False
1,2024-09-01T14:01:25+00:00,SAI,6,2,1.9,,HARD,2,2,False,312.7,66.693,,-0.2569,7.4,,False,GREEN FLAG,False
2,2024-09-01T14:02:50+00:00,VER,1,3,,0.8,MEDIUM,3,3,False,307.2,67.942,-0.1107,,,-0.00081,False,GREEN FLAG,False
2,2024-09-01T14:02:50+00:00,PER,2,3,0.8,1.1,HARD,3,3,True,308.4,67.677,-0.1098,-0.2646,3.02,-0.00081,False,GREEN FLAG,False
2,2024-09-01T14:02:50+00:00,HAM,3,3,1.1,1.4,SOFT,3,3,False,309.6,67.415,-0.109,-0.2625,4.19,-0.00081,False,GREEN FLAG,False
2,2024-09-01T14:02:50+00:00,RUS,4,3,1.4,1.7,MEDIUM,3,3,False,310.8,67.154,-0.1081,-0.2605,5.37,-0.00081,False,GREEN FLAG,False
2,2024-09-01T14:02:50+00:00,LEC,5,3,1.7,2.0,SOFT,3,3,False,312.0,66.896,-0.1073,-0.2585,6.58,-0.0008,False,GREEN FLAG,False
2,2024-09-01T14:02:50+00:00,SAI,6,3,2.0,,HARD,3,3,False,313.2,66.639,-0.1065,-0.2565,7.8,-0.0008,False,GREEN FLAG,False
3,2024-09-01T14:04:15+00:00,VER,1,4,,0.6,MEDIUM,4,4,False,307.7,67.887,-0.1105,,,-0.00163,False,GREEN FLAG,False
3,2024-09-01T14:04:15+00:00,PER,2,4,0.6,0.9,HARD,4,4,True,308.9,67.623,-0.1096,-0.2642,2.27,-0.00162,False,GREEN FLAG,False
3,2024-09-01T14:04:15+00:00,HAM,3,4,0.9,1.2,SOFT,4,4,True,310.1,67.361,-0.1088,-0.2621,3.43,-0.00161,False,GREEN FLAG,False
3,2024-09-01T14:04:15+00:00,RUS,4,4,1.2,1.5,MEDIUM,4,4,False,311.3,67.101,-0.1079,-0.2601,4.61,-0.00161,False,GREEN FLAG,False
3,2024-09-01T14:04:15+00:00,LEC,5,4,1.5,1.8,SOFT,4,4,False,312.5,66.842,-0.1071,-0.2581,5.81,-0.0016,False,GREEN FLAG,False
3,2024-09-01T14:04:15+00:00,SAI,6,4,1.8,,HARD,4,4,False,313.7,66.586,-0.1063,-0.2561,7.03,-0.0016,False,GREEN FLAG,False
4,2024-09-01T14:05:40+00:00,VER,1,5,,0.7,MEDIUM,5,5,False,308.2,67.832,-0.1103,,,-0.00244,False,GREEN FLAG,False
4,2024-09-01T14:05:40+00:00,PER,2,5,0.7,1.0,HARD,5,5,True,309.4,67.568,-0.1095,-0.2637,2.65,-0.00243,False,GREEN FLAG,False
4,2024-09-01T14:05:40+00:00,HAM,3,5,1.0,1.3,SOFT,5,5,False,310.6,67.306,-0.1086,-0.2617,3.82,-0.00242,False,GREEN FLAG,False
4,2024-09-01T14:05:40+00:00,RUS,4,5,1.3,1.6,MEDIUM,5,5,False,311.8,67.047,-0.1078,-0.2597,5.01,-0.00241,False,GREEN FLAG,False
4,2024-09-01T14:05:40+00:00,LEC,5,5,1.6,1.9,SOFT,5,5,False,313.0,66.789,-0.1069,-0.2577,6.21,-0.0024,False,GREEN FLAG,False
4,2024-09-01T14:05:40+00:00,SAI,6,5,1.9,,HARD,5,5,False,314.2,66.533,-0.1061,-0.2557,7.43,-0.00239,False,GREEN FLAG,False
5,2024-09-01T14:07:05+00:00,VER,1,6,,0.8,MEDIUM,6,6,False,306.2,67.887,0.0002,,,0.00326,False,GREEN FLAG,False
5,2024-09-01T14:07:05+00:00,PER,2,6,0.8,1.1,HARD,6,6,True,307.4,67.623,0.0002,-0.2642,3.03,0.00325,False,GREEN FLAG,False
5,2024-09-01T14:07:05+00:00,HAM,3,6,1.1,1.4,SOFT,6,6,False,308.6,67.361,0.0002,-0.2621,4.2,0.00324,False,GREEN FLAG,False
5,2024-09-01T14:07:05+00:00,RUS,4,6,1.4,1.7,MEDIUM,6,6,False,309.8,67.101,0.0002,-0.2601,5.38,0.00322,False,GREEN FLAG,False
5,2024-09-01T14:07:05+00:00,LEC,5,6,1.7,2.0,SOFT,6,6,False,311.0,66.843,0.0002,-0.2581,6.59,0.00321,False,GREEN FLAG,False
5,2024-09-01T14:07:05+00:00,SAI,6,6,2.0,,HARD,6,6,False,312.2,66.587,0.0002,-0.2561,7.81,0.0032,False,GREEN FLAG,False
6,2024-09-01T14:08:30+00:00,VER,1,7,,0.6,MEDIUM,7,7,False,306.7,67.887,0.0553,,,0.00162,False,GREEN FLAG,False
6,2024-09-01T14:08:30+00:00,PER,2,7,0.6,0.9,HARD,7,7,True,307.9,67.623,0.0549,-0.2642,2.27,0.00162,False,GREEN FLAG,False
6,2024-09-01T14:08:30+00:00,HAM,3,7,0.9,1.2,SOFT,7,7,True,309.1,67.361,0.0545,-0.2621,3.43,0.00161,False,GREEN FLAG,False
6,2024-09-01T14:08:30+00:00,RUS,4,7,1.2,1.5,MEDIUM,7,7,False,310.3,67.101,0.0541,-0.2601,4.61,0.00161,False,GREEN FLAG,False
6,2024-09-01T14:08:30+00:00,LEC,5,7,1.5,1.8,SOFT,7,7,False,311.5,66.843,0.0536,-0.2581,5.81,0.0016,False,GREEN FLAG,False
6,2024-09-01T14:08:30+00:00,SAI,6,7,1.8,,HARD,7,7,False,312.7,66.587,0.0532,-0.2561,7.03,0.00159,False,GREEN FLAG,False
7,2024-09-01T14:09:55+00:00,VER,1,8,,0.7,MEDIUM,8,8,False,307.2,67.887,0.0552,,,-1e-05,False,GREEN FLAG,False
